Escuela,Cant. Reservas,Años,Cant. Años,Último Año,Contacto (último),Teléfono (último),Email,Niveles,Total Chicos,Sección,Otros Contactos,Otros Teléfonos
DE LA PAZ,2,2017,1,2.017,NATALIA,4602 9300,,1,121,Teatro,,
DE LA RECONQUISTA,2,2018,1,2.018,CECILIA,4749 8617 1557230381,,J,50,Teatro,,
DEL CARMEN,2,2019,1,2.019,KARINA,4521 5322 1565450064,,J,42,Teatro,,
DI BRUNO,2,2017,1,2.017,ADRIANA,4766 4529,,1,102,Teatro,ROBERTO,4776 4529
DULCISIMO,2,"2017, 2019",2,2.019,CAROLINA SASSO,4541 9796  153364616,,"J 12, 123",114,Teatro,MARIA ROSA,4541 9796
EDISON,2,"2018, 2022",2,2.022,ROSA,1156948779,,"2, 4",100,Teatro,ANALIA,4977 7564 1549632186
EDMODO DA MICI,2,2022,1,2.022,GABRIELA,49640513  1549350649,,3,64,Teatro,,
EDMONDO DAMICI,2,2023,1,2.023,GABY,1149370649,,1,80,Teatro,,
EL GATO C BOTAS,2,2017,1,2.017,ALEJANDRA,4654 3989,,J,57,Teatro,,
EP 13 BERAZATEGUI,2,2022,1,2.022,TATIANA,11450288854,,4,100,Teatro,,
EP 14 RAMOS MEJIA,2,2019,1,2.019,MARIANA,4658 1802  155849 4330,,4,88,Teatro,,
EP 29 CIUDADELA,2,2018,1,2.018,LAURA,4657 9144 1526657100,,6,58,Teatro,,
EP 94 MATANZA,2,2023,1,2.023,CAROLINA TRANSP,1149147580,,4,134,Teatro,,
ESC 13 DIST 10,2,2022,1,2.022,RITA,1562502713,,45,100,Teatro,,
ESC 8 DIST 8,2,2017,1,2.017,GABRIELA,4922 9831,,4,60,Teatro,,
ESC ARGENTINA,2,2018,1,2.018,JUANA,4202 0056  1153850928,,"J, 5",130,Teatro,VICTORIA,4552 0520  1531748025
ESC DEL MIRADOR,2,"2024, 2025",2,2.025,FIONA,1133079039,,"2, 5",98,Teatro,FIONA ($122.500 PAGO),
ESC INTEGRAL 4,2,2023,1,2.023,IRINA,1131776975,,,10,Teatro,,
ESCLAVAS,2,2017,1,2.017,ERICA,4771 0890,,J,77,Teatro,,
ESCUELA DE LA PAZ,2,"2018, 2019",2,2.019,CECICLIA,4904 3033  154434 6088,,4,38,Teatro,CECILIA,1544 346088
EUSKALECHEA,2,"2017, 2018",2,2.018,MARCAL MU{OZ,4122 5150   1554916312,,2,209,Teatro,MARIA JOSE,4122 5150
EYMAR,2,"2019, 2022",2,2.022,NOE,1159972459,,1,109,Teatro,SILVIA  ROMINA,50
F FROEBEL RAMOS MEJIA,2,2019,1,2.019,LAURA DIRE,4658 8679  1569544 787,,J,60,Teatro,,
FA DI BRUNO,2,2019,1,2.019,GABRIELA,11392171 82,,"3, 2",100,Teatro,ANA,4776 4529 154184 0358
FAIRY TALE,2,"2017, 2018",2,2.018,LAURA,4813 7461  156481 6446,,J,80,Teatro,,156481 6446
FATIMA,2,2017,1,2.017,MELINA,152465 0018,,1,70,Teatro,,
FELICIA,2,2017,1,2.017,LAURA,4581 4640,,"2, 1",122,Teatro,,
FLORIDA,2,"2019, 2024",2,2.024,FLORIDA DAY SCHOOL,1130081122,karina.raymundo@fds.esc.edu.ar,1,30,"Teatro, Viajera",ALWJANDRA,4760 0674  0291154705165
GATO CON BOTAS,2,2018,1,2.018,MARCELA,4654 3989  1550490606,,J,60,Teatro,,
GATO CONBOTAS,2,2022,1,2.022,FLORENCIA,1135090560,,J,39,Teatro,,
GENERACION TEMPERLEY,2,2023,1,2.023,ANDREA,42444344  1559900690,,123,210,Teatro,,
GESSEL,2,2018,1,2.018,SILVIA CIANCIO,4748 4355   155140 7153,,1,130,Teatro,,
H AMEZOLA,2,2019,1,2.019,KARINA,116725 3500 (ANDREA),,1,60,Teatro,,
HERMANOS MARISTAS,2,2023,1,2.023,MARCELA,2323583548,,2 C,650,Teatro,,
HISTORIAS DE VIAJEROS,2,2023,1,2.023,CECILIA,1150373481,,4,60,Teatro,,
HUELLAS,2,"2024, 2025",2,2.025,CAROLINA,1150031416,,"1Y2, 1",100,Teatro,,
HUELLITAS,2,"2018, 2019",2,2.019,CLAUDIA,5950 8697  1563719545,,J,27,Teatro,,5950 8697   156371 9545
HUERTO DE OLIVOS,2,2018,1,2.018,FERNANDA,4799 8902,,1,100,Teatro,,
INST BALLESTER,2,"2018, 2025",2,2.025,LORE,1168747259,,2,116,Teatro,GABRIELA OLIVA,4768 0760     1153756137
INST EVANGELICO DEVOTO,2,2023,1,2.023,GLADIS,45030538  1562109629,,123,158,Teatro,,
INST I CASANOVA,2,2024,1,2.024,1165590564,PATRICIA,,2,190,Teatro,,
INST STA CLARA,2,2018,1,2.018,SILVIA,4632 6750    156253 5541,,J,120,Teatro,,
IOM,2,2023,1,2.023,CARLA LOURDES,1562113626,,123,94,Teatro,,
J 4 HURLINGHAN,2,2017,1,2.017,NATALIA,4452 7439,,J,79,Teatro,SILVIA,
J 5 HURLINGHAN,2,"2017, 2018",2,2.018,VALERIA,4459 0434  113241 0626,,J,61,Teatro,ANTONELLA,4458 0434
J 903 L MIRADOR,2,2017,1,2.017,AURORA,4454 3171,,J,115,Teatro,,
J 903 MERLO,2,2017,1,2.017,VERONICA,0220 4860855,,J,63,Teatro,,
J 910 PALOMAR,2,2018,1,2.018,MAGALI,4659 4352 1538342509,,J,70,Teatro,,
J 913 LA MATANZA,2,2018,1,2.018,NANCY DIRE,4454 3171  1555282 110,,J,120,Teatro,,
J 929 SAN MARTIN,2,2017,1,2.017,CAROLINA,4769 4481,,"J2, J",108,Teatro,,
J 948 TALAR,2,2019,1,2.019,IRIS,5245 9167 156239 2429,,J,160,Teatro,ADRIANA,5245 9167 15589 53637
J RATON MICUEL,2,2018,1,2.018,SILVININA,4734 5918  153672 1495,,J,105,Teatro,,
J UNIVE GRAL SARM,2,2017,1,2.017,KARINA,44697 563,,J,104,Teatro,,
J. HERNANDEZ D TORCUAT,2,2024,1,2.024,KARINA,1161657372,,4,59,Teatro,,
JARDIN 3,2,2017,1,2.017,ANDREA,4452 7442,,J,60,Teatro,,
JARDIN 923 PALOMAR,2,2019,1,2.019,ANALIA,4443 4119  156702 6319,,J,48,Teatro,,
JARDIN 932,2,2018,1,2.018,LORENA,4486 4466/ 4466 0162 / 1565346761,,J,80,Teatro,,
JARDIN ABC,2,"2018, 2025",2,2.025,LOLI,1141790666,,J,144,Teatro,VICTORIA,4544 5761  114183 4474
JIC 1 DIST 17,2,2018,1,2.018,AMORINA|,152453 1166,,J,94,Teatro,,
JIC 3 DIST 16,2,2017,1,2.017,SILVINA NIGRO,4501 7947,,J,140,Teatro,,
JIC 4 DIST 16,2,2019,1,2.019,MARIA FERNANDA,4521 2400  1567383824,,J,68,Teatro,,
JII 1 DIST 16,2,"2017, 2019",2,2.019,DEBORA KER,4571 6014  15694 70916,,J,130,Teatro,MARIANA LIMA,4571 6014
JII 4 Dist 14,2,2022,1,2.022,ANDREA,4521 8026  1167218010,,J,98,Teatro,,
JIN A DIST 13,2,2019,1,2.019,LORENA,4684 2185  15 55616924,,J,90,Teatro,,
JIN A DIST 15,2,2017,1,2.017,ELISA (OJO),4521 0068,,J,200,Teatro,,
JIN A DIST 16,2,2017,1,2.017,GRACIELA,4571 8554,,J,166,Teatro,,
JIN ESC 7 DIST 18,2,2019,1,2.019,VERONICA,4674 0880  1534657886,,J,70,Teatro,,
JINA DIST 7,2,2019,1,2.019,LAURA,4856 7070  15686 95561,,J,80,Teatro,,
JUGUET LIBR,2,2023,1,2.023,,,,,,Viajera,,
LA ANUNCIATA,2,2017,1,2.017,GABRIELA CORDOBA,4823 4946,,"3, 2",100,Teatro,SONIA PIRIS,115408 9864
LA GRAN SEMANA MAYO,2,2023,1,2.023,,,,,,Viajera,,
LA MERCED,2,2018,1,2.018,MONICA,4312 5771  1568172832,,"J, J1J",141,Teatro,,4312 5771  15681 72832
LASALLE / ROMINA,2,2017,1,2.017,4752 4359 INT  22,11307 00913,,2,129,Teatro,,113070 0913
LELOIR,2,2018,1,2.018,CAROLINA,4692 0027 1558816121,,"23, 3",120,Teatro,,4692 2606  155881 6121
LEON XIII,2,2018,1,2.018,VANESA,4771 9873   155607 3500,,"1J, 23",200,Teatro,,4771 9873 155607 3500
LIBERTAD,2,2017,1,2.017,53,177,,,392,Teatro,33,263
LINCOLN HURLING,2,2017,1,2.017,DEL SOLAR 1552262331,4459 1009,,J,60,Teatro,,
LOURDES FLORES,2,2022,1,2.022,CECILIA,156245521,,3,39,Teatro,,
LUJAN DE LOS PATRIOTAS,2,2017,1,2.017,SABRINA,4687 8645,,J,100,Teatro,,
LUJANPORTEÑO,2,2018,1,2.018,KARINA,4612 9541  1555041 088,,J,48,Teatro,,
M AUXILIADORA,2,2019,1,2.019,VERONICA,4923 2109 / 15582 65075,,"J, 1",58,Teatro,,3923 2109    1558265 075
MAIPU,2,2017,1,2.017,ADRIANA,4753 7989,,1,62,Teatro,,
MANUEL BELGRANO,2,"2018, 2019",2,2.019,PATRICIA,4784 0654 INT 118  1157014064,,2,272,Teatro,CLARA,4784 0654 1540963657
MARC CHAGALL,2,"2017, 2022",2,2.022,CAMILA,1169738107,,"123, 3",99,Teatro,GABRIELA,4639 8872
MARIA MOGAS,2,2022,1,2.022,LUCIANA MATIAS,4687 0890 1152597951,,135,156,Teatro,,
MARISTA BELGRANO,2,2017,1,2.017,EUGENIA FRGUEL,4784 0654,,J,141,Teatro,,
MG BOULOGNE,2,"2017, 2019",2,2.019,SILVIA FRESCO,4763 9733  154196 8960,,"456, 1",173,Teatro,GABRIELA 4763 9733,4763 5223
MICHAEL HAMM,2,"2018, 2024",2,2.024,VIVIANA,1153879154,,2,83,"Teatro, Viajera",,4874 3100 153859 9937
MILENIO 3,2,"2018, 2019",2,2.019,LORENA,4782 9109  155887 7798,,"13, 2",66,Teatro,NATALIA,4782 9109 155587 77693
MISERICORDIA F,2,2017,1,2.017,MARIANA,4632 0026,,J,82,Teatro,,
MONDONGO 13.45,2,2023,1,2.023,70,17,,,106,Teatro,,
MUNDO NIÑO,2,"2018, 2019",2,2.019,ROMINA,4432 9347  1555650726,,J,70,Teatro,ANA,4432 9347  153373 8248
N S.  MISERICORDIA,2,2018,1,2.018,CARLA,4632 0026   156631 2001,,J,83,Teatro,,
NONATO,2,2018,1,2.018,PAOLA,4567 8392    152505 1933,,1,62,Teatro,,
NORDBRIDGE,2,2019,1,2.019,CLAUDIA,4541 6444  1536057978,,"2, 1",126,Teatro,,
NTA SRA ASUNCIÓN,2,2017,1,2.017,MIRIAM,11524 73678,,3,143,Teatro,LILIAN,1152 473678
NTA SRA HUERTO,2,2019,1,2.019,GISELA,4571 7584  116938 7842,,123,120,Teatro,,4571 7584  116938 78 42
NTA SRA NAZARETH,2,"2018, 2019",2,2.019,ADRIANA,4541 6058  1535141439,,"5, J",109,Teatro,LORENA,4541 5253  155920 2500
NTRA DEL ROSARIO,2,2023,1,2.023,VERONICA,1136397339,,J,34,Teatro,,
NTRA SRA DEL CARMEN,2,"2017, 2022",2,2.022,GRACIELA,1550237906,,"1, 56",87,Teatro,GLADIS,4757 7658
NTRA SRA LUJAN FLORES,2,2022,1,2.022,ANALIA,1176499900,,J,79,Teatro,,
NTRA SRA REFUGIO,2,2023,1,2.023,CAROLINA,1124637890,,5,120,Teatro,,
NUEVA EVANGELICA,2,"2017, 2018",2,2.018,NAHIR,4623 9446  1534489 509,,"3, 12",61,Teatro,NAIR 15344 89509,4623 9446
NUEVO SOL,2,"2017, 2018",2,2.018,SILVANA,4902 8005  153094 9517,,J,62,Teatro,,4902 8005
ORIGINARIOS,2,2025,1,2.025,SILVIA,1132149211,,,,Viajera,LUCIA,1140460365
PALERMO CHICO,2,"2017, 2019",2,2.019,CAROLINA,4774 3975 1567426970,,3,118,Teatro,,4774 3975
PATRO. SAN JOSE,2,2023,1,2.023,MACARENA,1150087876  4784455,,12,98,Teatro,,
PATROCINIO,2,"2017, 2022",2,2.022,YANINA,1159950337,,"4567, 12",170,Teatro,NORMA,4784 4500
PEQUEÑO,2,2019,1,2.019,12,218,,,408,Teatro,1,231
PIAGET SAN ISIDRO,2,2023,1,2.023,INES,1135972349,,12,58,Teatro,,
PIO X,2,2017,1,2.017,CARINA,15381 76470,,3,123,Teatro,KARINA,153817 6470
PIO XII,2,2017,1,2.017,ANALIA,4844 0064,,3,180,Teatro,,
PLATERILLO,2,"2017, 2018",2,2.018,MAGUI,4502 8383  15601 37492,,"J, 12",87,Teatro,MERCEDES,4571 9124
PROYECCION 21,2,2023,1,2.023,GABI,1151155386,,1 C,66,Teatro,,
PROYECCIÓN 21,2,2023,1,2.023,BELEN,113029 0959,,1,64,Teatro,,
RATON MIGUEL,2,2023,1,2.023,SILVIA,1536721495,,J,92,Teatro,,
RATÓN MIGUEL,2,2023,1,2.023,SILVINA,1536721495,,j,76,Teatro,,
REDENTRIX,2,"2018, 2019",2,2.019,ROXANA,4581 4640  15499 22109,,4,102,Teatro,NATALIA,4581 1724  1541455 795
REP. ARGENTINA,2,2018,1,2.018,CAROLINA,154914 7580,,3,70,Teatro,,
S A PADUA,2,2018,1,2.018,GABRIELA,4918 0640   156662 8300,,4,61,Teatro,,
S RAMON NONATO,2,2018,1,2.018,PAOLA,4567 3842   1525051933,,45,123,Teatro,,
SALVADOR,2,2017,1,2.017,ALICIA SUAREZ,5237 2500,,"1, 2",177,Teatro,,
SAN AGUSTIN,2,"2017, 2022",2,2.022,AGUSTINA,1121606182,,J,120,Teatro,MARIANA,4802 4724
SAN ANTONIO DE PADUA,2,2019,1,2.019,GABRIELA,4918 0640  1566628 300,,4,63,Teatro,,
SAN BENITO,2,2017,1,2.017,CAROLINA,4772 6571,,"123, 4567",149,Teatro,,
SAN FERNANDO,2,2019,1,2.019,VANESA,4665 0826   1540783749,,2,148,Teatro,PATRICIA,4665 0826  1564 175104
SAN FRANCISCO DE ASIS,2,"2024, 2025",2,2.025,PATRICIA,1159283686,primaria@isfa.edu.ar,1,44,"Viajera, Teatro",CRISOLOGO LARRALDE,1169072919
SAN GREGORIO,2,"2017, 2019",2,2.019,VALERIA,4791 5474  1544463936,,J,84,Teatro,VALERIA INST 112,4791 5475
SAN JOSE DON TORCUATO,2,2019,1,2.019,KARINA ADAMO,4741 6916  /  11616 57372,,4,66,Teatro,,
SAN JUAN MARIA,2,2017,1,2.017,VALERA,4502 5220,,"J, 123",170,Teatro,VALERIA,
SAN MARTIN DE LOS ANDES,2,"2019, 2024",2,2.024,STELLA MARIA,1161044632,,"12, 3",120,Teatro,STELLA MARIS,4307 2165  1561044632
SAN MARTIN DE TOURS,2,"2022, 2025",2,2.025,AMALIA,1168061706,,"3, 123",147,Teatro,ANGELES,1164113871
SAN PIO MATADEROS,2,2019,1,2.019,GABRIELA,11 68197450,,3,95,Teatro,,
SAN VTE DE PAUL,2,"2019, 2022",2,2.022,CAMILA,1164831623,,"5, 1",89,Teatro,ANDREA,4635 3792  156594 8743
SANTA CLARA ASIS,2,"2019, 2022",2,2.022,LAURA,1132766899,,4,65,Teatro,MARIANA,15621 37916
SANTA LUCIA,2,2017,1,2.017,STELA MARIS,4302 3583,,"4 5, 123",120,Teatro,STELLA MARIS,156104 4632
SANTOS GAYNOR,2,2023,1,2.023,PAOLA,1532018604,,123,122,Teatro,,
SCHONTAL,2,2017,1,2.017,ALEJANDRA,4637 1414,,3,124,Teatro,,
SIGLO XXI,2,2017,1,2.017,CAROLINA,15491 47580,,6,55,Teatro,,
ST. MARTIN IN THE FIELDS,2,2023,1,2.023,VICTORIA,1164213873,,12,126,Teatro,,
STA BRIGIDA,2,2018,1,2.018,ALEJANDRA,4581 1268  1563354941,,4,91,Teatro,,
STA BRÍGIDA,2,2019,1,2.019,ALEJANDRA,4581 1268  1563354941,,2,90,Teatro,,
STA CLARA ASIS,2,2022,1,2.022,LAURA,1132766899,,4,60,Teatro,,
STA MA NAZARETH,2,2022,1,2.022,ADRIANA,1535141439,,J,101,Teatro,,4541 6058 | 1535141439
STA MARIA NAZARETH,2,"2018, 2022",2,2.022,ADRIANA,1135141439,,"4, J",164,Teatro,LORENA,4541 5253  155920 2500
STA. BRIGIDA,2,2017,1,2.017,ALEJANDRA,4581 1268,,4,90,Teatro,,
STA. ROSA LIMA,2,2017,1,2.017,ROMINA,4762 4051,,J,62,Teatro,,
TIEMPO DE CRECER,2,"2017, 2019",2,2.019,MICAELA,4308 6203  1559636868,,J,47,Teatro,AYELEN,4308 6203
TIEMPOS MODERNOS,2,2018,1,2.018,VERONICA,4242 2319  15534 90130,,J,68,Teatro,CECILIA,4242 6554  15600 19045
TIERRA SANTA,2,2023,1,2.023,VIVIANA,1150396609,,J,68,Teatro,,
VELEZ SARSFIED,2,2023,1,2.023,CECILIA,1160297814,,2,86,Teatro,,
VIRGEN DEL PILAR,2,2023,1,2.023,PATRICIA,1162824984,,1,50,Teatro,,
VIRGEN DEL PILAR X,2,2023,1,2.023,PAULA SARNA Y DANIEL PAZ,,nivel_primario@ievp.com.ar,,,Viajera,,
stA CECILIA,2,"2018, 2019",2,2.019,CECILIA NORBERT,49220459 1549178616,,ESP0,35,Teatro,CECILIA,DE NORBERTO
1 DIST 18,1,2018,1,2.018,VERONICA TURSI,4567 4917 1565124761,,12,18,Teatro,,
10 DE RAMOS,1,2018,1,2.018,PATRICIA,113980 9872,,16,49,Teatro,,
10 DIS 12,1,2025,1,2.025,DANIELA,1167278957,,2,27,Teatro,,
10 DIST 18,1,2019,1,2.019,PATRICIA,112661715,,4,81,Teatro,,
10 DIST 19,1,2018,1,2.018,ANDREA SANZ,4772 1716 115606 9473,,1,27,Teatro,,
10 DIST 7,1,2018,1,2.018,VALERA,155487 8930,,J,25,Teatro,,
10 dist 12 $90.000.-,1,2025,1,2.025,marisa,1123404575,,j,29,Teatro,,
11 DIST 10 (Factura),1,2018,1,2.018,ESTER BIBLIO,4788 1759  1558265526,,123,80,Teatro,,
11 DIST 13,1,2019,1,2.019,SONIA,4687 0337  1559151704,,4,52,Teatro,,
11 DIST 14,1,2017,1,2.017,MAXIMILIANO,4581 2265,,12,33,Teatro,,
11 DIST 15,1,2017,1,2.017,AGOSTINA,4541 2433,,2,51,Teatro,,
11 DIST 20,1,2019,1,2.019,MARIANA,15494 09542,,2,39,Teatro,,
11 DIST 21,1,2019,1,2.019,NICOLAS,4159 0645  113874 7611,,2,50,Teatro,,
11 DIST 9,1,2017,1,2.017,ANGELA,4831 0746,,1,33,Teatro,,
12 DIST 20,1,2019,1,2.019,GRACIELA,4682 1864  156585 2349,,45,37,Teatro,,
12 DIST 6,1,2018,1,2.018,MARCELA,153272 5692,,J,26,Teatro,,
12 DIST 9,1,2022,1,2.022,LUCIANA,1154693003,,123,40,Teatro,,
126 DE VIRREY DEL PINO,1,2019,1,2.019,CARLA,116761 0000,,1,66,Teatro,,
126 VIRREY DEL PINO,1,2019,1,2.019,CARLA,116761 0000  1523834815,,4,80,Teatro,,
13 DIST 10,1,2017,1,2.017,GRACIELA,4702 5163,,1 A 3,100,Teatro,,
13 DIST 14,1,2017,1,2.017,ALEJANDRA,4581 5059,,45,32,Teatro,,
13 dist 18,1,2017,1,2.017,VIVIANA,4567 0314,,1234,68,Teatro,,
13.45,1,2022,1,2.022,114,86,,,77,Teatro,,
13.45 HS,1,2022,1,2.022,131,69,,,64,Teatro,,
14 DIST 13,1,2019,1,2.019,SILVIA BIBL,4635 1626  15579733 36,,123,66,Teatro,,
14 DIST 16 (5 ENTR PAGA),1,2024,1,2.024,MAETRA MÑ,1134229820,,2,19,Teatro,,
14 DIST 6,1,2022,1,2.022,LAURA,1130038811,,3,39,Teatro,,
14 DIST 7,1,2019,1,2.019,MARCELO,4431 3630  12540685941,,4,25,Teatro,,
14 DIT 16,1,2017,1,2.017,15513 25075 MONICA,4572 1108,,23,46,Teatro,,
146 C. EVITA,1,2018,1,2.018,ANDREA,113125 9674,,4,65,Teatro,,
15 DIST 13,1,2019,1,2.019,ADOLFO,4601 8010  153800 7875,,4,60,Teatro,,
15 DIST 17  $ 90.000,1,2025,1,2.025,CARLA,11356356638,,4,45,Teatro,,
15 DIST 19,1,2019,1,2.019,ROMINA,4701 3923  1561586 6329,,2,50,Teatro,,
15 DIST 20,1,2017,1,2.017,VANESA,4641 3192,,123,67,Teatro,,
15 DIST 6,1,2017,1,2.017,MARIANA,4931 9843,,12,55,Teatro,,
15 DSIT 17,1,2022,1,2.022,CARLA 45010449,1535635638,,123,150,Teatro,,
15 DSIT 20,1,2022,1,2.022,VANESA BIBLO,1162558107,,123,62,Teatro,,
15 SAN MIGUEL,1,2018,1,2.018,MARISA,4465 5170 115745 2561,,2,32,Teatro,,
15 dist 9,1,2019,1,2.019,PAMELA  VICE,4551 5252   156400 3780,,123,66,Teatro,,
16 DIST 10,1,2019,1,2.019,DELIA,4544 2959  1566900530,,123,80,Teatro,,
16 DIST 13,1,2017,1,2.017,CARLA LEIVA,4683 6180,,1234,80,Teatro,,
16 DIST 16,1,2019,1,2.019,ALEJANDRA,4572 2000  1559672331,,123,71,Teatro,,
16 DIST 8,1,2017,1,2.017,JULIA,4981 6615,,1,65,Teatro,,
16 VICENTE LOPEZ,1,2017,1,2.017,LAURA,4790 5047,,4,26,Teatro,,
16 VTE LOPEZ,1,2017,1,2.017,PATRICIA,4790 5047,,2,15,Teatro,,
16 dit 17,1,2024,1,2.024,ceci,1160203665,,4,40,Teatro,,
16 dsit 20,1,2022,1,2.022,cristina,46870063 15932754,,2,54,Teatro,,
167 LA FERRERE,1,2022,1,2.022,GABRIELA,1159287183,,6,60,Teatro,,
169 LA TABLADA,1,2018,1,2.018,FERNANDA,155815 9393,,1,52,Teatro,,
17 DIST 10 al 13 julio,1,2017,1,2.017,ROXANA,4781 0672,,5,47,Teatro,,
17 DIST 11,1,2017,1,2.017,ANA,4671 9760,,12,115,Teatro,,
17 DIST 12,1,2017,1,2.017,MARGARITA,4581 3836,,123,57,Teatro,,
17 DIST 18,1,2019,1,2.019,GONZALO,4566 4499 15662256 72,,123,60,Teatro,,
17 DIST 20,1,2017,1,2.017,MELINA,4631 0072,,345,90,Teatro,,
17 DIST 20 3 de agos,1,2017,1,2.017,MELINA,4641 0072,,2345,129,Teatro,,
17 DIST 7,1,2019,1,2.019,DANA,4854 4505  1123661247,,2,52,Teatro,,
17 HURLINGHAN,1,2017,1,2.017,GABRIELA,4665 3254,,123,60,Teatro,,
17 HURLUNCHAN,1,2017,1,2.017,GRACIELA,4665 3254,,56,38,Teatro,,
18 BOULOGNE,1,2018,1,2.018,MONICA,4737 5976  1530189837,,5,48,Teatro,,
18 DE SAN ISIDRO,1,2017,1,2.017,SILVANA,1554 985398,,4,43,Teatro,,
18 DIST 14,1,2018,1,2.018,IVANA SANCHAE,4553 5347  1567130 730,,123,60,Teatro,,
18 DIST 20,1,2017,1,2.017,ALICIA LOPES,4641 3131,,123,98,Teatro,,
18 SAN ISIDRO,1,2017,1,2.017,MONICA,4765 4115,,4,48,Teatro,,
189 LAFERRERE,1,2018,1,2.018,CAROLINA TRANSP,154914 7580,,J,56,Teatro,,
19 DIST 11  2 X 1,1,2018,1,2.018,GRACIELA,4671 1050    15498 02767,,34,39,Teatro,,
19 DIST 13,1,2017,1,2.017,LORENA,4682 1112,,123,70,Teatro,,
19 DIST 17,1,2018,1,2.018,ALEJANDRA,4502 6437  155958 9717,,2,38,Teatro,,
19 JIN A DIST 12,1,2019,1,2.019,MARIELA,1554 231443,,J,25,Teatro,,
19 MORON,1,2018,1,2.018,NANCY,4627 9438 15441 34472,,56,32,Teatro,,
19 PQUE PEREIRA,1,2018,1,2.018,TATIANA y gladis,154028 8854  156272 0672,,34,64,Teatro,,
19 dist 15 PASO 12 sept,1,2017,1,2.017,alejandra,4543 9344,,5,61,Teatro,,
2 DIST 14,1,2018,1,2.018,YANINA,455 5750  1158078164,,4,47,Teatro,,
2 dist,1,2018,1,2.018,graciela,4501 2716  1567050544,,12,35,Teatro,,
20 DIST 17 14 DE JULIO,1,2017,1,2.017,MARTA,4902 1431,,45,41,Teatro,,
20 DIST 20  $30.000,1,2025,1,2.025,PATRICIA,1160288899,,2,23,Teatro,,
20 dist 10,1,2019,1,2.019,noelia,4782 8373 153838 6520,,2,20,Teatro,,
20 dist 9,1,2018,1,2.018,PATRICIA,4773 4747  1567599996,,2,35,Teatro,,
21 DIST 10,1,2019,1,2.019,CECILIA,1564600237,,1,40,Teatro,,
21 DIST 13,1,2019,1,2.019,EZEQUIEL,4671 5359   1167210 740,,3,43,Teatro,,
21 DIST 15,1,2017,1,2.017,CARLA,4544 4481,,123,60,Teatro,,
21 DIST 17,1,2018,1,2.018,ELEONORA,4501 7234 1561234578,,45,33,Teatro,,
21 DIST 4,1,2017,1,2.017,GEORGINA,4362 8688,,67,42,Teatro,,
22 DIST 15,1,2018,1,2.018,VIVIANA BIBL,4543 3542 155932 4499,,1,32,Teatro,,
23 DIST 14,1,2019,1,2.019,ADRIANA,4581 3420  1556 128676,,34,34,Teatro,,
23 DIST 20,1,2019,1,2.019,MONICA,1157 965898,,1,26,Teatro,,
23 Y 21 JIN D7,1,2018,1,2.018,LORENA,4958 4313  1158338548,,J,36,Teatro,,
24 DE RAMOS,1,2018,1,2.018,ROXANA,4658 1802   1121883602,,5,41,Teatro,,
24 DIST 18,1,2022,1,2.022,NADIA,46412584 1166105910,,23,42,Teatro,,
24 LA MATANZA,1,2018,1,2.018,YOLANDA,4658 1802  1567119656,,4,46,Teatro,,
24 RAMOS MEJIA,1,2018,1,2.018,DEBORA,4658 0214  1134330926,,4,53,Teatro,,
25 DIST 14,1,2017,1,2.017,VANINA,4501 5091,,123,63,Teatro,,
25 DIST 16,1,2019,1,2.019,DARIO,4641 2722 156808 5123,,45,36,Teatro,,
25 DIST 17,1,2019,1,2.019,ROCIO,?????? 4433 9050,,45,49,Teatro,,
25 SAN MARTIN,1,2019,1,2.019,AMALIA,4753 7775   02355 15472490,,34,44,Teatro,,
26 DIST 6,1,2019,1,2.019,FLORENCIA,152571 5569,,6,41,Teatro,,
28 HRULINGHAN,1,2017,1,2.017,SILVIA,4665 4166,,34,62,Teatro,,
29 9 dist 17,1,2018,1,2.018,JULIETA,15586 93954,,J,40,Teatro,,
3 DIS 16,1,2017,1,2.017,MONICA,4571 1108,,1,52,Teatro,,
3 DIST 10,1,2019,1,2.019,LAURA,4571 1108 1530427926,,5,53,Teatro,,
3 DIST 7,1,2019,1,2.019,VICTORIA,4902 1063  1535706868,,2,67,Teatro,,
3 DIST 9,1,2024,1,2.024,MARISA,1140750758,,,31,Teatro,,
3 jb dist 9,1,2018,1,2.018,LILIANA,45771 0670  153572 4582,,J,21,Teatro,,
30 LA MATANZA,1,2018,1,2.018,VERONICA,4488 3260  15616 54689,,45,67,Teatro,,
32 VTE LOPEZ,1,2018,1,2.018,MONICA,156047 4809,,4,32,Teatro,,
4 DE SAN ISIDRO,1,2017,1,2.017,CARMEN,4766 7106,,2,36,Teatro,,
4 DIST 14,1,2018,1,2.018,MABEL,4521 7498  1561507431,,567,65,Teatro,,
4 DIST 15,1,2017,1,2.017,MONICA,4521 7498,,123,40,Teatro,,
4 DIST 17 7 julio,1,2017,1,2.017,CLAUDIA,4501 5935,,3,38,Teatro,,
4 VILLA MARTELLI,1,2022,1,2.022,ANDREA,1160993834,,J,45,Teatro,,
4 dist 10,1,2017,1,2.017,DANIELA,4702 7013,,23,44,Teatro,,
4 dist 7,1,2018,1,2.018,DANA  BIBLIOT,152366 1247,,3,40,Teatro,,
5 CAP SARMIENTO,1,2018,1,2.018,SILVINA PRATTO,02478 15444975 0248 483424,,6,47,Teatro,,
5 DIS 9,1,2018,1,2.018,R0XANA,1532 180110,,2,50,Teatro,,
